Experiment ID,26524.0,
Experiment name,"Flavin-based yeast metabolic oscillations, zwf1Δ, 10 g/L glucose, experiment ID IS20016",
Job,2d74efe3-febd-45e8-a3b9-c806d89aa2b0,
Method,BD2 eJTK,
Submitted,2023-09-22T10:21:30.888178924,Finished,2023-09-22T10:21:39.358837508,
NULL_SIZE,100000,
DW_END,0.0,
PERIOD_MIN,24.0,
DATA_SET_ID,26524_LIN_DTR,
PERIOD_MAX,24.0,
DW_START,0.0,
PRESET,EJTK_CLASSIC,
METHOD,BD2EJTK,
DATA_SET_TYPE_NAME,linear dtr,
PARAMS_SUMMARY,linear dtr min-max p(24.0),
DATA_SET_TYPE,LIN_DTR,


Individual Results,

Data Id,Data Label,,tau,emp p,emp p BH Corrected,Pattern Shape,Pattern Period,Pattern Peak,P. Trough,P. Circ. Peak,P. Circ. Trough,P. Width,P. Asym,,JTK p from tau,JTK p BH Corrected,bf corrected JTK p,BH bf corrected p,
11,zwf1egf,,0.031945042423155254,0.999820001799982,0.999820001799982,ACOS,24.0,6.0,6.0,6.0,6.0,24.0,0.0,,0.27250078785603954,0.27250078785603954,21.255061452771084,1.0,
12,zwf1egf,,0.18338561252989866,0.011399886001139989,0.027528133809570997,ACOS,24.0,2.0,22.0,2.0,22.0,24.0,0.17,,2.5577728007376133E-4,6.176440001781168E-4,0.019950627845753383,0.048176232013893115,
13,zwf1egf,,0.14310116821005875,0.1022789772102279,0.1724943068029637,COS,24.0,8.0,20.0,8.0,20.0,24.0,0.5,,0.003350419798163457,0.005650509580235989,0.2613327442567496,0.44073974725840714,
14,zwf1egf,,0.16092317226996,0.041939580604193956,0.0836822617689316,ACOS,24.0,10.0,4.0,10.0,4.0,24.0,0.25,,0.0011478958170265772,0.002290402451813593,0.08953587372807302,0.17865139124146026,
15,zwf1egf,,0.1287313123079394,0.19070809291907082,0.2824074546710979,ACOS,24.0,8.0,10.0,8.0,10.0,24.0,0.92,,0.0073621584540089985,0.010902151020745033,0.5742483594127019,0.8503677796181126,
16,zwf1egf,,0.13193746517456287,0.16799832001679985,0.25775915526043297,ACOS,24.0,16.0,18.0,16.0,18.0,24.0,0.92,,0.006212522800171499,0.009531849061634972,0.48457677841337693,0.7434842268075278,
17,zwf1egf,,0.07153243949299837,0.8515814841851581,0.9162585589333979,ACOS,24.0,6.0,6.0,6.0,6.0,24.0,0.0,,0.08765545391218255,0.09431283015867742,6.837125405150239,1.0,
18,zwf1egf,,0.19914375870276838,0.004129958700412996,0.012277655001227765,ACOS,24.0,6.0,14.0,6.0,14.0,24.0,0.67,,8.058228081512573E-5,2.4074583334618348E-4,0.006285417903579807,0.018778175001002314,
19,zwf1egf,,0.10950695418630833,0.3745062549374506,0.4723001731407018,ACOS,24.0,16.0,6.0,16.0,6.0,24.0,0.42,,0.01900054002213337,0.023962105369159294,1.482042121726403,1.0,
20,zwf1egf,,0.13220254126027897,0.16641833581664184,0.25775915526043297,ACOS,24.0,10.0,10.0,10.0,10.0,24.0,0.0,,0.006125003151824465,0.009500461093158385,0.47775024584230824,0.7410359652663541,
21,zwf1egf,,0.44916697526699195,9.99990000099999E-6,6.538396154499993E-5,ACOS,24.0,20.0,10.0,20.0,10.0,24.0,0.42,,8.664663018603167E-18,6.137469638177243E-16,6.75843715451047E-16,4.7872263177782495E-14,
22,zwf1egf,,0.16049781507598282,0.04280957190428096,0.08371246562763732,ACOS,24.0,20.0,14.0,20.0,14.0,24.0,0.25,,0.0011790716367726128,0.0023052363419615953,0.0919675876682638,0.17980843467300442,
23,zwf1egf,,0.21104275365709682,0.0017899821001789982,0.00603763803631805,ACOS,24.0,14.0,0.0,14.0,0.0,24.0,0.58,,3.185164485735829E-5,1.0743610368553392E-4,0.0024844282988739468,0.008380016087471645,
24,zwf1egf,,0.1718542194834284,0.023149768502314975,0.05045462365889162,ACOS,24.0,2.0,16.0,2.0,16.0,24.0,0.42,,5.646799824498373E-4,0.0012307127822624659,0.04404503863108731,0.09599559701647234,
